1,???????,Cambodia,??????????????????,Kingdom of Cambodia,??????,Phnom Penh,??????,Asia
2,??????,Qatar,?????????,State of Qatar,????,Doha,??????,Asia
3,?????????,South Korea,???????????????,Republic of Korea,???,Seoul,??????,Asia
4,???????????,North Korea,?????????????????????????????????,Democratic People’s Republic of Korea,????????,Pyongyang,??????,Asia
5,?????????,Kazakhstan,??????????????????,Republic of Kazakhstan,???????,Astana,??????,Asia
6,??????????? ,Kyrgyzstan,????????????????,Kyrgyz Republic,??????,Bishkek,??????,Asia
7,?????,Kuwait,????????,State of Kuwait,?????????,Kuwait City,??????,Asia
8,????????,Georgia,????????,Georgia,???????,Tbilisi,??????,Asia
9,???????,Jordan,?????????????????????????,Hashemite Kingdom of Jordan,??????,Amman,??????,Asia
10,???,China,???????????????????,People’s Republic of China,???????,Beijing,??????,Asia
11,??????????????,Saudi Arabia,?????????????????????????,Kingdom of Saudi Arabia,?????,Riyadh,??????,Asia
12,??????,Syria,?????????????????????,Syrian Arab Republic,????????,Damascus,??????,Asia
13,??????,Cyprus,???????????????,Republic of Cyprus,????????,Nicosia,??????,Asia
14,???????,Japan,???????,Japan,???????,Tokyo,??????,Asia
15,??????-?????,Timor-Leste,??????????????????????????-?????,Democratic Republic of Timor-Leste,????,Dili,??????,Asia
16,?????,Turkey,??????????????,Republic of Turkey,???????,Ankara,??????,Asia
17,??????????????,Turkmenistan,??????????????,Turkmenistan,????????,Ashgabat,??????,Asia
18,??????????,Tajikistan,???????????????????,Republic of Tajikistan,???????,Dushanbe,??????,Asia
19,???,Thailand,??????????????,Kingdom of Thailand,?????????????,Bangkok,??????,Asia
20,?????,Nepal,????????????????????????????????,Federal Democratic Republic of Nepal,????????,Kathmandu,??????,Asia
21,?????,Brunei Darussalam,?????????????????????,Negara Brunei Darussalam,????????????????????,Bandar Seri Begawan,??????,Asia
22,?????????,Bangladesh,?????????????????????????,People’s Republic of Bangladesh,????,Dhaka,??????,Asia
23,???????,Bahrain,??????????????????,Kingdom of Bahrain,??????,Manama,??????,Asia
24,????????,Pakistan,???????????????????????,Islamic Republic of Pakistan,??????????,Islamabad,??????,Asia
25,????????????,Palestine,????????????,State of Palestine,?????????[# 5],Jerusalem,??????,Asia
26, ????,Myanmar,??????????????????????,Republic of the Union of Myanmar,???????,Nay Pyi Taw,??????,Asia
27,??????????,Philippines,???????????????????,Republic of the Philippines,??????,Manila,??????,Asia
28,?????,Bhutan,????????????????,Kingdom of Bhutan,?????,Thimphu,??????,Asia
29,?????????,Mongolia,?????????,Mongolia,???????????,Ulan Bator,??????,Asia
30,????????,Maldives,?????????????????,Republic of Maldives,????,Malé,??????,Asia
31,????????,Malaysia,????????,Malaysia,?????????????,Kuala Lumpur,??????,Asia
32,?????,Yemen,??????????????,Republic of Yemen,????,Sana'a,??????,Asia
33,???,Laos,??????????????????????????????,Lao People’s Democratic Republic,???????????,Vientiane,??????,Asia
34,???????,Lebanon,????????????????,Republic of Lebanon,?????,Beirut,??????,Asia
35,????????,Vietnam,??????????????????????????,Socialist Republic of Vietnam,?????,Hanoi,??????,Asia
36,????????,Sri Lanka,?????????????????????????????????????,Democratic Socialist Republic of Sri Lanka,?????,Kotte,??????,Asia
37,????????????????????,United Arab Emirates,????????????????????,United Arab Emirates,????????,Abu Dhabi,??????,Asia
38,????????,Singapore,?????????????????,Republic of Singapore,????????[# 7],Singapore,??????,Asia
39,???????????,Afghanistan,??????????????????????????,Islamic Republic of Afghanistan,?????,Kabul,??????,Asia
40,????????????,Azerbaijan,?????????????????????,Republic of Azerbaijan,????,Baku,??????,Asia
41,??????????,Armenia,???????????????????,Republic of Armenia,???????,Yerevan,??????,Asia
42,???????,India,????????????????,Republic of India,???????,New Delhi,??????,Asia
43,???????????,Indonesia,????????????????????,Republic of Indonesia,????????,Jakarta,??????,Asia
44,?????,Iraq,??????????????,Republic of Iraq,??????,Baghdad,??????,Asia
45,????????,Israel,???????????,State of Israel,?????????[# 9],Jerusalem,??????,Asia
46,???????,Iran,??????????????????????,Islamic Republic of Iran,???????,Tehran,??????,Asia
47,???????????,Uzbekistan,????????????????????,Republic of Uzbekistan,????????,Tashkent,??????,Asia
48,?????,Oman,???????????????,Sultanate of Oman,??????,Muscat,??????,Asia
1,???????,Kiribati,????????????????,Republic of Kiribati,??????[# 1],Tarawa,?????????????,Oceania
2,?????,Samoa,??????????????,Independent State of Samoa,??????,Apia,?????????????,Oceania
3,?????,Tonga,????????????????,Kingdom of Tonga,??????????,Nuku?alofa,?????????????,Oceania
4,??????,Tuvalu,??????,Tuvalu,????????[# 2],Funafuti,?????????????,Oceania
5,??????,Nauru,???????????????,Republic of Nauru,– [# 3],–,?????????????,Oceania
6,??????????,New Zealand,??????????,New Zealand,?????????,Wellington,?????????????,Oceania
7,????????????,Papua New Guinea,?????????????????????,Independent State of Papua New Guinea,????????????,Port Moresby,?????????????,Oceania
8,?????,Palau,??????????????,Republic of Palau,??????????[# 4],Melekeok,?????????????,Oceania
9,????,Fiji,?????????????,Republic of Fiji,????,Suva,?????????????,Oceania
10,???????????,Micronesia,????????????????????,Federated States of Micronesia,????????,Palikir,?????????????,Oceania
11,????????,Vanuatu,?????????????????,Republic of Vanuatu,?????????,Port Vila,?????????????,Oceania
12,???????????????,Solomon Islands,???????????????,Solomon Islands,????????,Honiara,?????????????,Oceania
13,?????????????????,Marshall Islands,??????????????????????????,Republic of the Marshall Islands,??????,Majuro,?????????????,Oceania
14,??????????,Australia,??????????????????,Commonwealth of Australia,??????????,Canberra,?????????????,Oceania
1,????,Greece,?????????????????,Hellenic Republic,???????,Athens,?????,European
2,??????,Kosovo,???????????????,Republic of Kosovo,????????,Pristina,?????,European
3,?????????,Croatia,??????????????????,Republic of Croatia,???????,Zagreb,?????,European
4,????????,Czechia,?????????????,Czech Republic,????,Prague,?????,European
5,?????????,San Marino,??????????????????,Republic of San Marino,?????????,San Marino,?????,European
6,?????????,Serbia,??????????????????,Republic of Serbia,???????,Belgrade,?????,European
7,????????,Denmark,???????????????????,Kingdom of Denmark,??????????,Copenhagen,?????,European
8,?????????????,Vatican City State,?????????????,Vatican City State,???????[# 2],Vatican,?????,European
9,????????,Norway,???????????????????,Kingdom of Norway,?????,Oslo,?????,European
10,????????????,Netherlands,???????????????????????,Kingdom of the Netherlands,????????????,Amsterdam,?????,European
11,???????????????????????,Bosnia and Herzegovina,???????????????????????,Bosnia and Herzegovina,????????,Sarajevo,?????,European
12,?????????,Bulgaria,??????????????????,Republic of Bulgaria,??????,Sofia,?????,European
13,????????,Belgium,???????????????????,Kingdom of Belgium,?????????,Brussels,?????,European
14,???????,Belarus,????????????????,Republic of Belarus,??????,Minsk,?????,European
15,????????,Portugal,?????????????????,Portuguese Republic,??????,Lisbon,?????,European
16,???????,Poland,????????????????,Republic of Poland,??????,Warsaw,?????,European
17,????????,France,?????????????????,French Republic,?????,Paris,?????,European
18,????????,Finland,?????????????????,Republic of Finland,????????,Helsinki,?????,European
19,??????????,Montenegro,??????????,Montenegro,??????????,Podgorica,?????,European
20,???????,Moldova,????????????????,Republic of Moldova,???????,Chi?in?u,?????,European
21,?????,Malta,??????????????,Republic of Malta,????????,Valletta,?????,European
22,??????????,Macedonia,???????????????????,Republic of Macedonia,???????,Skopje,?????,European
23,??????,Monaco,????????????,Principality of Monaco,??????[# 2],Monaco,?????,European
24,??????,Ukraine,??????,Ukraine,?????,Kiev,?????,European
25,???????,Germany,???????????????????????,Federal Republic of Germany,????????,Berlin,?????,European
26,???????,Russia,????????????????,Russian Federation,?????,Moscow,?????,European
27,????????,Romania,????????,Romania,?????????,Bucharest,?????,European
28,????????????,Luxembourg,??????????????????,Grand Duchy of Luxembourg,????????????,Luxembourg,?????,European
29,???????,Latvia,????????????????,Republic of Latvia,????,Riga,?????,European
30,???????????,Liechtenstein,?????????????????,Principality of Liechtenstein,?????,Vaduz,?????,European
31,?????????,Lithuania,??????????????????,Republic of Lithuania,????????,Vilnius,?????,European
32,????,Spain,???????????????,Kingdom of Spain,??????,Madrid,?????,European
33,?????????,Slovakia,???????????????,Slovak Republic,??????????,Bratislava,?????,European
34,?????????,Slovenia,??????????????????,Republic of Slovenia,?????????,Ljubljana,?????,European
35,??????????????,Switzerland,??????????????,Swiss Confederation,??????,Bern,?????,European
36,??????,Sweden,?????????????????,Kingdom of Sweden,??????????,Stockholm,?????,European
37,?????????????,United Kingdom,??????????????????????? ??????????????????????,United Kingdom of Great Britain and Northern Ireland,??????,London,?????,European
38,????????,Austria,?????????????????,Republic of Austria,???????,Vienna,?????,European
39,?????????,Andorra,???????????????,Principality of Andorra,???????????????,Andorra la Vella,?????,European
40,??????,Italy,???????????????,Italian Republic,???,Rome,?????,European
41,?????????,Estonia,??????????????????,Republic of Estonia,????????,Tallinn,?????,European
42,?????????,Albania,??????????????????,Republic of Albania,??????,Tirana,?????,European
43,?????????,Iceland,??????????????????,Republic of Iceland,????????,Reykjavík,?????,European
44,?????????,Ireland,?????????[# 5],Ireland,??????,Dublin,?????,European
45,???????,Hungary,???????,Hungary,?????????,Budapest,?????,European
1,????,Ghana,?????????????,Republic of Ghana,??????,Accra,???????,Africa
2,?????,Gabon,??????????????,Gabonese Republic,?????????,Libreville,???????,Africa
3,??????????,Cabo Verde,???????????????????,Republic of Cabo Verde,?????,Praia,???????,Africa
4,????,Guinea,?????????????,Republic of Guinea,???????,Conakry,???????,Africa
5,????-??????,Guinea-Bissau,?????????????-??????,Republic of Guinea-Bissau,??????,Bissau,???????,Africa
6,???????,The Gambia,??????????????????????,Islamic Republic of The Gambia,??????,Banjul,???????,Africa
7,??????????,Côte d’Ivoire,???????????????????,Republic of Côte d’Ivoire,?????????,Yamoussoukro,???????,Africa
8,???????,Comoros,????????????,Union of the Comoros,??????,Moroni,???????,Africa
9,?????,Kenya,??????????????,Republic of Kenya,??????,Nairobi,???????,Africa
10,????????,Cameroon,?????????????????,Republic of Cameroon,???????,Yaoundé,???????,Africa
11,??????,Djibouti,???????????????,Republic of Djibouti,??????,Djibouti,???????,Africa
12,???,Chad,????????????,Republic of Chad,?????????,N’Djamena,???????,Africa
13,????????,Zimbabwe,?????????????????,Republic of Zimbabwe,??????,Harare,???????,Africa
14,?????,Sudan,??????????????,Republic of the Sudan,???????,Khartoum,???????,Africa
15,???????,Seychelles,????????????????,Republic of Seychelles,?????????,Victoria,???????,Africa
16,???????,Senegal,????????????????,Republic of Senegal,??????,Dakar,???????,Africa
17,??????????????????,São Tomé and Príncipe,??????????????????????????????????????,Democratic Republic of São Tomé and Príncipe,???????,São Tomé,???????,Africa
18,??????????  ??????????,South Sudan,???????????????????,Republic of South Sudan,????,Juba,???????,Africa
19,?????????????,Sierra Leone,??????????????????????,Republic of Sierra Leone,????????,Freetown,???????,Africa
20,???????,Zambia,????????????????,Republic of Zambia,??????,Lusaka,???????,Africa
21,????????,Somalia,????????????????????????,Federal Republic of Somalia,????????,Mogadishu,???????,Africa
22,????????,Tunisia,?????????????????,Tunisian Republic,?????,Tunis,???????,Africa
23,????,Togo,?????????????,Togolese Republic,????,Lomé,???????,Africa
24,?????????,Tanzania,????????????????????,United Republic of Tanzania,??????,Dodoma,???????,Africa
25,????????,Namibia,?????????????????,Republic of Namibia,????????,Windhoek,???????,Africa
26,????????,Nigeria,????????????????????????,Federal Republic of Nigeria,??????,Abuja,???????,Africa
27,???????,Niger,????????????????,Republic of Niger,??????,Niamey,???????,Africa
28,????????,Botswana,?????????????????,Republic of Botswana,????????,Gaborone,???????,Africa
29,???????,Burundi,????????????????,Republic of Burundi,?????????,Bujumbura,???????,Africa
30,????????????,Burkina Faso,????????????,Burkina Faso,????????,Ouagadougou,???????,Africa
31,?????,Benin,??????????????,Republic of Benin,??????-????,Porto-Novo,???????,Africa
32,?????????,Mauritius,??????????????????,Republic of Mauritius,??????????,Port Louis,???????,Africa
33,??????????,Mauritania,?????????????????????????,Islamic Republic of Mauritania,????????,Nouakchott,???????,Africa
34,???????????,Madagascar,????????????????????,Republic of Madagascar,?????????????,Antananarivo,???????,Africa
35,??????,Malawi,???????????????,Republic of Malawi,???????,Lilongwe,???????,Africa
36,????,Mali,?????????????,Republic of Mali,??????,Bamako,???????,Africa
37,????????,Mozambique,?????????????????,Republic of Mozambique,??????,Maputo,???????,Africa
38,????????,Morocco,???????????????????,Kingdom of Morocco,?????,Rabat,???????,Africa
39,???????,Uganda,????????????????,Republic of Uganda,???????,Kampala,???????,Africa
40,??????,Rwanda,???????????????,Republic of Rwanda,??????,Kigali,???????,Africa
41,??????,Libya,??????,Libya,???????,Tripoli,???????,Africa
42,??????,Lesotho,?????????????????,Kingdom of Lesotho,??????,Maseru,???????,Africa
43,????????,Liberia,?????????????????,Republic of Liberia,?????????,Monrovia,???????,Africa
44,??????????,Swaziland,?????????????????????,Kingdom of Swaziland,?????????,Mbabane,???????,Africa
45,??????????????,Republic of the Congo,??????????????,Republic of the Congo,????????,Brazzaville,???????,Africa
46,?????????????????????????,Democratic Republic of the Congo,?????????????????????????,Democratic Republic of the Congo,???????,Kinshasa,???????,Africa
47,????????????????????,Central African Republic,????????????????????,Central African Republic,?????,Bangui,???????,Africa
48,????????????????,Equatorial Guinea,?????????????????????????,Republic of Equatorial Guinea,??????,Malabo,???????,Africa
49,???????,Egypt,??????????????????????,Arab Republic of Egypt,????,Cairo,???????,Africa
50,??????????,Ethiopia,?????????????????????????????????????,Federal Democratic Republic of Ethiopia,????????????,Addis Ababa,???????,Africa
51,?????????,Eritrea,????????????,State of Eritrea,???????,Asmara,???????,Africa
52,???????,Angola,????????????????,Republic of Angola,???????,Luanda,???????,Africa
53,??????????,South Africa,???????????????????,Republic of South Africa,?????????,Pretoria,???????,Africa
54,?????????,Algeria,????????????????????????????????????,People’s Democratic Republic of Algeria,?????????,Algier,???????,Africa
1,?????????,Guatemala,??????????????????,Republic of Guatemala,?????????????,Guatemala City,????????????,Noth America
2,???????,Grenada,???????,Grenada,????????????,Saint George’s,????????????,Noth America
3,?????????,Costa Rica,??????????????????,Republic of Costa Rica,???????,San José,????????????,Noth America
4,?????,Cuba,??????????????,Republic of Cuba,??????,Havana,????????????,Noth America
5,??????,Canada,??????,Canada,???????,Ottawa,????????????,Noth America
6,??????,Jamaica,??????,Jamaica,????????,Kingston,????????????,Noth America
7,??????????????????,Saint Kitts and Nevis,???????????????????????????,Federation of Saint Kitts and Nevis,???????,Basseterre,????????????,Noth America
8,???????????,Saint Lucia,???????????,Saint Lucia,????????,Castries,????????????,Noth America
9,??????????????????????????,Saint Vincent and the Grenadines,??????????????????????????,Saint Vincent and the Grenadines,??????????,Kingstown,????????????,Noth America
10,????????,Dominica,????????????????,Commonwealth of Dominica,????,Roseau,????????????,Noth America
11,?????????,Nicaragua,??????????????????,Republic of Nicaragua,???????,Managua,????????????,Noth America
12,?????????,Barbados,?????????,Barbados,???????????,Bridgetown,????????????,Noth America
13,???????,Bahamas,???????????????,Commonwealth of the Bahamas,?????,Nassau,????????????,Noth America
14,?????,Belize,?????,Belize,????????,Belmopan,????????????,Noth America
15,??????,Panama,???????????????,Republic of Panama,??????????,Panama City,????????????,Noth America
16,????????,Mexico,?????????????,United Mexican States,????????????,Mexico City,????????????,Noth America
17,????????????,United States of America,????????????,United States of America,???????? ??.??.,"Washington, D.C.",????????????,Noth America
18,??????????????????,Dominican Republic,??????????????????,Dominican Republic,????????????,Santo Domingo,????????????,Noth America
19,????????????,El Salvador,?????????????????????,Republic of El Salvador,????????????,San Salvador,????????????,Noth America
20,??????????????????,Antigua and Barbuda,??????????????????,Antigua and Barbuda,??????????,Saint John’s,????????????,Noth America
21,????????,Honduras,?????????????????,Republic of Honduras,???????????,Tegucigalpa,????????????,Noth America
22,????,Haiti,?????????????,Republic of Haiti,????????????,Port-au-Prince,????????????,Noth America
1,???????,Guyana,??????????????????????,Cooperative Republic of Guyana,??????????,Georgetown,??????????,South America
2,?????????,Colombia,??????????????????,Republic of Colombia,??????,Bogotá,??????????,South America
3,????,Chile,?????????????,Republic of Chile,?????????,Santiago,??????????,South America
4,???????,Suriname,????????????????,Republic of Suriname,??????????,Paramaribo,??????????,South America
5,?????????????????,Trinidad and Tobago,??????????????????????????,Republic of Trinidad and Tobago,????????????,Port of Spain,??????????,South America
6,??????,Brazil,??????????????????????,Federative Republic of Brazil,?????????,Brasília,??????????,South America
7,????????,Bolivia,????????????????????????,Plurinational State of Bolivia,?????[# 2],Sucre,??????????,South America
8,????????,Paraguay,?????????????????,Republic of Paraguay,??????????,Asunción,??????????,South America
9,????,Peru,?????????????,Republic of Peru,????,Lima,??????????,South America
10,??????????,Venezuela,???????????????????????????????,Bolivarian Republic of Venezuela,???????,Caracas,??????????,South America
11,???????????,Argentina,????????????????????,Argentine Republic,???????????,Buenos Aires,??????????,South America
12,????????,Uruguay,??????????????????????,Oriental Republic of Uruguay,???????????,Montevideo,??????????,South America
13,?????????,Ecuador,??????????????????,Republic of Ecuador,????,Quito,??????????,South America
